date,TAVG (Degrees Fahrenheit),SNOW (Inches)
2015-01-01,27.5,0.0
2015-01-02,30.5,0.0
2015-01-03,36,0.0
2015-01-04,37,0.3
2015-01-05,47,0.0
2015-01-06,29,0.0
2015-01-07,19.5,1.0
2015-01-08,14.5,0.0
2015-01-09,15.5,0.4
2015-01-10,24.5,0.6
2015-01-11,19.5,
2015-01-12,28,0.0
2015-01-13,32.5,
2015-01-14,21,0.0
2015-01-15,22.5,0.0
2015-01-16,30,0.0
2015-01-17,29.5,0.0
2015-01-18,22.5,0.0
2015-01-19,34.5,0.0
2015-01-20,37.5,0.0
2015-01-21,32.5,0.0
2015-01-22,28.5,0.0
2015-01-23,31,0.0
2015-01-24,32.5,5.0
2015-01-25,34.5,0.0
2015-01-26,32.5,0.0
2015-01-27,24,7.2
2015-01-28,21.5,0.2
2015-01-29,23.5,0.0
2015-01-30,25.5,
2015-01-31,24.5,0.0
2015-02-01,19.5,0.0
2015-02-02,31,3.0
2015-02-03,23,1.5
2015-02-04,21,0.0
2015-02-05,31.5,0.0
2015-02-06,23.5,0.0
2015-02-07,20.5,0.0
2015-02-08,30,0.0
2015-02-09,30.5,0.0
2015-02-10,27,0.3
2015-02-11,30,0.0
2015-02-12,27,0.0
2015-02-13,23,0.0
2015-02-14,12.5,0.0
2015-02-15,21.5,
2015-02-16,12.5,0.0
2015-02-17,13.5,3.0
2015-02-18,20.5,0.0
2015-02-19,22.5,0.0
2015-02-20,12.5,0.0
2015-02-21,9,0.0
2015-02-22,22,3.8
2015-02-23,33,0.0
2015-02-24,14,0.0
2015-02-25,15,0.0
2015-02-26,28.5,0.0
2015-02-27,23.5,0.0
2015-02-28,21.5,0.0
2015-03-01,19.5,0.0
2015-03-02,27.5,4.0
2015-03-03,29.5,0.0
2015-03-04,30.5,1.0
2015-03-05,39,0.5
2015-03-06,21.5,6.0
2015-03-07,20,0.0
2015-03-08,25.5,0.0
2015-03-09,42,0.0
2015-03-10,44,0.0
2015-03-11,40,0.0
2015-03-12,50.5,0.0
2015-03-13,39,0.0
2015-03-14,36.5,0.0
2015-03-15,43.5,0.0
2015-03-16,38.5,0.0
2015-03-17,42,0.0
2015-03-18,43,0.0
2015-03-19,36,0.0
2015-03-20,35.5,0.0
2015-03-21,33,3.7
2015-03-22,37.5,0.0
2015-03-23,33,0.0
2015-03-24,31,0.0
2015-03-25,34.5,0.0
2015-03-26,37.5,0.0
2015-03-27,47.5,0.0
2015-03-28,40,0.0
2015-03-29,33,0.0
2015-03-30,34.5,0.0
2015-03-31,45,0.0
2015-04-01,39,0.0
2015-04-02,43.5,0.0
2015-04-03,55.5,0.0
2015-04-04,55.5,0.0
2015-04-05,49.5,0.0
2015-04-06,50.5,0.0
2015-04-07,51.5,0.0
2015-04-08,49,0.0
2015-04-09,40.5,0.0
2015-04-10,41,0.0
2015-04-11,48,0.0
2015-04-12,45.5,0.0
2015-04-13,51.5,0.0
2015-04-14,55.5,0.0
2015-04-15,57.5,0.0
2015-04-16,60.5,0.0
2015-04-17,56,
2015-04-18,62,
2015-04-19,65.5,0.0
2015-04-20,55.5,0.0
2015-04-21,52.5,
2015-04-22,57.5,
2015-04-23,56.5,
2015-04-24,45,0.0
2015-04-25,41.5,0.0
2015-04-26,51.5,0.0
2015-04-27,53.5,0.0
2015-04-28,55,0.0
2015-04-29,61,0.0
2015-04-30,62,0.0
2015-05-01,56,0.0
2015-05-02,56.5,
2015-05-03,59,
2015-05-04,64.5,0.0
2015-05-05,74.5,0.0
2015-05-06,75.5,
2015-05-07,61.5,
2015-05-08,66.5,0.0
2015-05-09,70,0.0
2015-05-10,64,
2015-05-11,73.5,0.0
2015-05-12,76,0.0
2015-05-13,71.5,0.0
2015-05-14,60,0.0
2015-05-15,63,0.0
2015-05-16,68,0.0
2015-05-17,68.5,
2015-05-18,73.5,0.0
2015-05-19,64.5,
2015-05-20,68,
2015-05-21,60.5,0.0
2015-05-22,57.5,0.0
2015-05-23,61.5,
2015-05-24,59,0.0
2015-05-25,68,0.0
2015-05-26,77.5,0.0
2015-05-27,80.5,0.0
2015-05-28,77,0.0
2015-05-29,78.5,
2015-05-30,75.5,0.0
2015-05-31,76,
2015-06-01,72.5,
2015-06-02,53.5,
2015-06-03,52.5,
2015-06-04,62.5,
2015-06-05,61,0.0
2015-06-06,61.5,
2015-06-07,65.5,
2015-06-08,67,0.0
2015-06-09,72.5,
2015-06-10,74,0.0
2015-06-11,76,0.0
2015-06-12,83.5,0.0
2015-06-13,82.5,0.0
2015-06-14,77,0.0
2015-06-15,77.5,
2015-06-16,75,
2015-06-17,72,
2015-06-18,72.5,
2015-06-19,69,
2015-06-20,77,0.0
2015-06-21,68,
2015-06-22,77.5,
2015-06-23,83,
